Symbol	NCBI_TaxID
TGFB1	9606
SNCA	9606
SIRT3	9606
TFRC	9606
CGAS	9606
STING1	9606
HDDC3	9606
MIR761	9606
MDM2	9606
MDM4	9606
MIR214	9606
DLD	9606
WWTR1	9606
PRKCA	9606
SMPD1	9606
MYCN	9606
IFNA1	9606
IFNA2	9606
IFNA4	9606
IFNA5	9606
IFNA6	9606
IFNA7	9606
IFNA8	9606
IFNA10	9606
IFNA13	9606
IFNA14	9606
IFNA16	9606
IFNA17	9606
IFNA21	9606
SMG9	9606
TLR4	9606
PAQR3	9606
MICU1	9606
TOR2A	9606
MIR375	9606
CircKDM4C	9606
MIR324	9606
QSOX1	9606
CLTRN	9606
KLF2	9606
MIR5096	9606
H19	9606
YTHDC2	9606
DDR2	9606
SLC39A7	9606
TRIM46	9606
ACSL1	9606
KDM5A	9606
CYGB	9606
GSTZ1	9606
ACO1	9606
GJA1	9606
SLC7A11	9606
CIRBP	9606
circPSEN1	9606
YAP1	9606
TRIM26	9606
NDRG1	9606
MIR302A	9606
ASMTL-AS1	9606
FADS2	9606
PIEZO1	9606
LIFR	9606
PTPN6	9606
ADAM23	9606
ARHGEF26-AS1	9606
CPEB1	9606
MIR15A	9606
KDM6B	9606
METTL14	9606
MIB1	9606
KDM5C	9606
CCDC6	9606
MIR539	9606
GPX4	9606
AKR1C1	9606
AKR1C2	9606
AKR1C3	9606
RB1	9606
HSPB1	9606
HSF1	9606
NFE2L2	9606
SQSTM1	9606
NQO1	9606
FTH1	9606
MUC1	9606
MT1G	9606
SLC40A1	9606
CISD1	9606
HSPA5	9606
HELLS	9606
SCD	9606
SRC	9606
STAT3	9606
PML	9606
NFS1	9606
TP63	9606
CDKN1A	9606
MIR137	9606
FH	9606
CISD2	9606
MIR9-1	9606
MIR9-2	9606
MIR9-3	9606
CBS	9606
ISCU	9606
ACSL3	9606
OTUB1	9606
CD44	9606
LINC00336	9606
BRD4	9606
PRDX6	9606
MIR17	9606
SESN2	9606
NF2	9606
ARNTL	9606
HIF1A	9606
JUN	9606
CA9	9606
TMBIM4	9606
PLIN2	9606
AIFM2	9606
LAMP2	9606
ZFP36	9606
PROM2	9606
CHMP5	9606
CHMP6	9606
CAV1	9606
GCH1	9606
PIR	9606
GCLC	9606
HCAR1	9606
SLC16A1	9606
RRM2	9606
NR4A1	9606
PIK3CA	9606
RPTOR	9606
SREBF1	9606
SREBF2	9606
FZD7	9606
P4HB	9606
BCAT2	9606
PLA2G6	9606
MIR424	9606
PARK7	9606
FXN	9606
SUV39H1	9606
ATF2	9606
STK11	9606
FNDC5	9606
CircIL4R	9606
CDH1	9606
NEDD4L	9606
FTMT	9606
BRD2	9606
BRD3	9606
BRDT	9606
DECR1	9606
GLRX5	9606
NCOA3	9606
NR5A2	9606
MTOR	9606
PANX2	9606
RHEBP1	9606
TFAP2A	9606
CP	9606
ARF6	9606
GDF15	9606
ABHD12	9606
TFAM	9606
KDM3B	9606
RNF113A 	9606
AHCY	9606
circ-TTBK2	9606
MIR522	9606
IDH2	9606
PPARA	9606
SIAH2	9606
NEDD4	9606
PRDX1	9606
AR	9606
MTF1	9606
COPZ1	9606
NUPR1	9606
USP35	9606
NEAT1	9606
PARP1	9606
PARP2	9606
PARP3	9606
PARP4	9606
PARP6	9606
PARP8	9606
PARP9	9606
PARP10	9606
PARP11	9606
PARP12	9606
PARP14	9606
PARP15	9606
PARP16	9606
PDSS2	9606
OIP5-AS1	9606
MIR190A	9606
CREB1	9606
CREB3	9606
CREB5	9606
MIR130B	9606
BEX1	9606
FABP4	9606
AKT1S1	9606
MLST8	9606
TYRO3	9606
SIRT6	9606
TMSB4X	9606
TMSB4Y	9606
KIF20A	9606
ECH1	9606
circRHOT1	9606
ETV4	9606
MEG8	9606
VCP	9606
circ_0007142	9606
RBMS1	9606
KDM4A	9606
MGST1	9606
circKIF4A	9606
miR-7-5p	9606
circ_0067934	9606
MPC1	9606
CAMKK2	9606
SOX2	9606
SRSF9	9606
MIR4443	9606
MIR27A	9606
MIR670	9606
MEF2C	9606
EZH2	9606
PEDS1	9606
CDC25A	9606
LCN2	9606
TRIB2	9606
DHODH	9606
MIR545	9606
PDK4	9606
CircPVT1	9606
circDTL	9606
PTPN18	9606
FTL	9606
ABCC5	9606
CISD3	9606
FURIN	9606
circRHBG	9606
GALNT14	9606
KLHDC3	9606
LINC01833	9606
circGFRA1	9606
GSTM1	9606
circ0097009	9606
TMEM161B-DT	9606
circEPSTI1	9606
MIR18A	9606
RARRES2	9606
USP11	9606
PTGS2	9606
DUSP1	9606
NOS2	9606
NCF2	9606
MT3	9606
UBC	9606
ALB	9606
TXNRD1	9606
SRXN1	9606
GPX2	9606
OXSR1	9606
SELENOS	9606
ANGPTL7	9606
DDIT4	9606
LOC284561	9606
ASNS	9606
TSC22D3	9606
DDIT3	9606
JDP2	9606
SLC1A4	9606
PCK2	9606
TXNIP	9606
VLDLR	9606
GPT2	9606
PSAT1	9606
LURAP1L	9606
SLC7A5	9606
HERPUD1	9606
XBP1	9606
SLC3A2	9606
ZNF419	9606
KLHL24	9606
TRIB3	9606
ZFP69B	9606
ATP6V1G2	9606
VEGFA	9606
TUBE1	9606
ARRDC3	9606
CEBPG	9606
SNORA16A	9606
RGS4	9606
BLOC1S5-TXNDC5	9606
LOC390705	9606
EIF2S1	9606
HSD17B11	9606
SETD1B	9606
MAFG	9606
DRD5	9606
DRD4	9606
MAP3K5	9606
MAPK14	9606
SLC2A1	9606
SLC2A3	9606
SLC2A6	9606
SLC2A8	9606
SLC2A12	9606
GLUT13	9606
SLC2A14	9606
EIF2AK4	9606
HBA1	9606
NNMT	9606
PLIN4	9606
HIC1	9606
STMN1	9606
CAPG	9606
HNF4A	9606
NGB	9606
YWHAE	9606
GABPB1	9606
AURKA	9606
MIR4715	9606
MIR30B	9606
MMP13	9606
CBR1	9606
